FixtureNumber,CompetitionGameweek,ToDate,isNight,Time,HomeT,AwayT
1,1,8/17,0,16,Genoa,Inter
2,1,8/17,0,16,Parma,Fiorentina
3,1,8/17,1,18,Milan,Torino
4,1,8/17,1,18,Empoli,Monza
5,1,8/18,0,16,Bologna,Udinese
6,1,8/18,0,16,Hellas_Verona,Napoli
7,1,8/18,1,18,Cagliari,Roma
8,1,8/18,1,18,Lazio,Venezia
9,1,8/19,0,16,Lecce,Atalanta
10,1,8/19,1,18,Juventus,Como
1,2,8/24,0,16,Parma,Milan
2,2,8/24,0,16,Udinese,Lazio
3,2,8/24,1,18,Inter,Lecce
4,2,8/24,1,18,Monza,Genoa
5,2,8/25,0,16,Fiorentina,Venezia
6,2,8/25,0,16,Torino,Atalanta
7,2,8/25,1,18,Roma,Empoli
8,2,8/25,1,18,Napoli,Bologna
9,2,8/26,0,16,Cagliari,Como
10,2,8/26,1,18,Hellas_Verona,Juventus
1,3,8/30,0,16,Venezia,Torino
2,3,8/30,1,18,Inter,Atalanta
3,3,8/31,0,16,Bologna,Empoli
4,3,8/31,0,16,Lecce,Cagliari
5,3,8/31,1,18,Lazio,Milan
6,3,8/31,1,18,Napoli,Parma
7,3,9/1,0,16,Fiorentina,Monza
8,3,9/1,0,16,Genoa,Hellas_Verona
9,3,9/1,1,18,Juventus,Roma
10,3,9/1,1,18,Udinese,Como
1,4,9/14,0,13,Como,Bologna
2,4,9/14,0,16,Empoli,Juventus
3,4,9/14,1,18,Milan,Venezia
4,4,9/15,0,10,Genoa,Roma
5,4,9/15,0,13,Atalanta,Fiorentina
6,4,9/15,0,13,Torino,Lecce
7,4,9/15,0,16,Cagliari,Napoli
8,4,9/15,1,18,Monza,Inter
9,4,9/16,0,16,Parma,Udinese
10,4,9/16,1,18,Lazio,Hellas_Verona
1,5,9/20,0,16,Cagliari,Empoli
2,5,9/20,1,18,Hellas_Verona,Torino
3,5,9/21,0,13,Venezia,Genoa
4,5,9/21,0,16,Juventus,Napoli
5,5,9/21,1,18,Lecce,Parma
6,5,9/22,0,10,Fiorentina,Lazio
7,5,9/22,0,13,Monza,Bologna
8,5,9/22,0,16,Roma,Udinese
9,5,9/22,1,18,Inter,Milan
10,5,9/24,1,18,Atalanta,Como
1,6,9/27,1,18,Milan,Lecce
2,6,9/28,0,13,Udinese,Inter
3,6,9/28,0,16,Genoa,Juventus
4,6,9/28,1,18,Bologna,Atalanta
5,6,9/29,0,10,Torino,Lazio
6,6,9/29,0,13,Como,Hellas_Verona
7,6,9/29,0,13,Roma,Venezia
8,6,9/29,0,16,Empoli,Fiorentina
9,6,9/29,1,18,Napoli,Monza
10,6,9/30,1,18,Parma,Cagliari
1,7,10/4,0,16,Napoli,Como
2,7,10/4,1,18,Hellas_Verona,Venezia
3,7,10/5,0,13,Udinese,Lecce
4,7,10/5,0,16,Atalanta,Genoa
5,7,10/5,1,18,Inter,Torino
6,7,10/6,0,10,Juventus,Cagliari
7,7,10/6,0,13,Bologna,Parma
8,7,10/6,0,13,Lazio,Empoli
9,7,10/6,0,16,Monza,Roma
10,7,10/6,1,18,Fiorentina,Milan
1,8,10/19,0,13,Como,Parma
2,8,10/19,0,13,Genoa,Bologna
3,8,10/19,0,16,Milan,Udinese
4,8,10/19,1,18,Juventus,Lazio
5,8,10/20,0,10,Empoli,Napoli
6,8,10/20,0,13,Lecce,Fiorentina
7,8,10/20,0,13,Venezia,Atalanta
8,8,10/20,0,16,Cagliari,Torino
9,8,10/20,1,18,Roma,Inter
10,8,10/21,1,18,Hellas_Verona,Monza
1,9,10/25,0,16,Udinese,Cagliari
2,9,10/25,1,18,Torino,Como
3,9,10/26,0,13,Napoli,Lecce
4,9,10/26,1,18,Atalanta,Hellas_Verona
5,9,10/27,0,11,Parma,Empoli
6,9,10/27,0,14,Lazio,Genoa
7,9,10/27,0,14,Monza,Venezia
8,9,10/27,1,17,Inter,Juventus
9,9,10/27,1,19,Fiorentina,Roma
10,9,2/27,1,19,Bologna,Milan
1,10,10/29,1,17,Cagliari,Bologna
2,10,10/29,1,17,Lecce,Hellas_Verona
3,10,10/29,1,19,Milan,Napoli
4,10,10/30,1,17,Empoli,Inter
5,10,10/30,1,17,Venezia,Udinese
6,10,10/30,1,19,Atalanta,Monza
7,10,10/30,1,19,Juventus,Parma
8,10,10/31,1,17,Genoa,Fiorentina
9,10,10/31,1,19,Como,Lazio
10,10,10/31,1,19,Roma,Torino
1,11,11/2,0,14,Bologna,Lecce
2,11,11/2,1,17,Udinese,Juventus
3,11,11/2,1,19,Monza,Milan
4,11,11/3,0,11,Napoli,Atalanta
5,11,11/3,0,14,Torino,Fiorentina
6,11,11/3,1,17,Hellas_Verona,Roma
7,11,11/3,1,19,Inter,Venezia
8,11,11/4,1,17,Empoli,Como
9,11,11/4,1,17,Parma,Genoa
10,11,11/4,1,19,Lazio,Cagliari
1,12,11/7,1,19,Genoa,Como
2,12,11/8,1,19,Lecce,Empoli
3,12,11/9,0,14,Venezia,Parma
4,12,11/9,1,17,Cagliari,Milan
5,12,11/9,1,19,Juventus,Torino
6,12,11/10,0,11,Atalanta,Udinese
7,12,11/10,0,14,Fiorentina,Hellas_Verona
8,12,11/10,0,14,Roma,Bologna
9,12,11/10,1,17,Monza,Lazio
10,12,11/10,1,19,Inter,Napoli
1,13,11/23,0,14,Hellas_Verona,Inter
2,13,11/23,1,17,Milan,Juventus
3,13,11/23,1,19,Parma,Atalanta
4,13,11/24,0,11,Genoa,Cagliari
5,13,11/24,0,14,Como,Fiorentina
6,13,11/24,0,14,Torino,Monza
7,13,11/24,1,17,Napoli,Roma
8,13,11/24,1,19,Lazio,Bologna
9,13,11/25,1,17,Empoli,Udinese
10,13,11/25,1,19,Venezia,Lecce
1,14,11/29,1,19,Cagliari,Hellas_Verona
2,14,11/30,0,14,Como,Monza
3,14,11/30,1,17,Milan,Empoli
4,14,11/30,1,19,Bologna,Venezia
5,14,12/1,0,11,Udinese,Genoa
6,14,12/1,0,14,Parma,Lazio
7,14,12/1,0,14,Torino,Napoli
8,14,12/1,1,19,Lecce,Juventus
9,14,12/2,1,19,Roma,Atalanta
10,14,2/6,1,19,Fiorentina,Inter
1,15,12/6,1,17,Inter,Parma
2,15,12/6,1,19,Atalanta,Milan
3,15,12/7,0,14,Genoa,Torino
4,15,12/7,1,17,Juventus,Bologna
5,15,12/7,1,19,Roma,Lecce
6,15,12/8,0,11,Fiorentina,Cagliari
7,15,12/8,0,14,Hellas_Verona,Empoli
8,15,12/8,1,17,Venezia,Como
9,15,12/8,1,19,Napoli,Lazio
10,15,12/9,1,19,Monza,Udinese
1,16,12/13,1,19,Empoli,Torino
2,16,12/14,0,14,Cagliari,Atalanta
3,16,12/14,1,17,Udinese,Napoli
4,16,12/14,1,19,Juventus,Venezia
5,16,12/15,0,11,Lecce,Monza
6,16,12/15,0,14,Bologna,Fiorentina
7,16,12/15,0,14,Parma,Hellas_Verona
8,16,12/15,1,17,Como,Roma
9,16,12/15,1,19,Milan,Genoa
10,16,12/16,1,19,Lazio,Inter
1,17,12/20,1,19,Hellas_Verona,Milan
2,17,12/21,0,14,Torino,Bologna
3,17,12/21,1,17,Genoa,Napoli
4,17,12/21,1,19,Lecce,Lazio
5,17,12/22,0,11,Roma,Parma
6,17,12/22,0,14,Venezia,Cagliari
7,17,12/22,1,17,Atalanta,Empoli
8,17,12/22,1,19,Monza,Juventus
9,17,12/23,1,17,Fiorentina,Udinese
10,17,12/23,1,19,Inter,Como
1,18,12/28,0,14,Empoli,Genoa
2,18,12/28,0,14,Parma,Monza
3,18,12/28,1,17,Cagliari,Inter
4,18,12/28,1,19,Lazio,Atalanta
5,18,12/29,0,11,Udinese,Torino
6,18,12/29,0,14,Napoli,Venezia
7,18,12/29,1,17,Juventus,Fiorentina
8,18,12/29,1,19,Milan,Roma
9,18,12/30,1,17,Como,Lecce
10,18,12/30,1,19,Bologna,Hellas_Verona
1,19,1/4,0,14,Venezia,Empoli
